case,sha256,compute_ops,weak_components,largest_component_fraction,vector_share,compute_cycles,critical_path_cycles,shared_input_tensors,dag_edges,graph_depth_ops,tensor_count,total_tensor_bytes,input_tensor_count,input_tensor_bytes,output_tensor_count,output_tensor_bytes,matrix_cycles,vector_cycles,work_span_parallelism
case_011,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,688,16,0.0625,0.12160926546784517,209984,2120,176,672,22,1056,3964928,176,540672,16,65536,184448,25536,99.04905660377358
case_012,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,972,50,0.10082304526748971,0.47540886902918494,67809,2506,108,986,19,1555,2046444,251,484096,81,70802,35572,32237,27.058659217877096
case_013,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,1968,246,0.0040650406504065045,0.14102564102564102,307008,400,4,1722,4,4190,8581120,988,2023424,246,503808,263712,43296,767.52
case_014,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,35705,1340,0.0034729029547682397,0.0874825953802826,18877172,31968,1615,34509,124,40287,193330034,1621,9911640,1340,21100,17225748,1651424,590.5021271271271
case_015,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,1013,46,0.14313919052319843,0.5165846384055132,196477,7913,101,1063,29,1501,5017738,211,884482,66,132,94980,101497,24.82964741564514
case_016,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,17995,1,1.0,1.0,7714975,655140,12,21338,2440,18020,360593104,12,393216,1,2,0,7714975,11.77607076350093
case_017,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,1373,60,0.11798980335032774,0.37795975298365597,177802,5980,178,1428,18,2015,3039622,257,535118,128,108744,110600,67202,29.73277591973244
case_018,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,2727,126,0.021635496883021636,0.10399049491213974,1084051,3539,242,2653,28,3717,12182654,432,1592596,126,252,971320,112731,306.3156258830178
case_019,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,647,31,0.26275115919629055,0.4540084768689692,88712,12234,39,694,79,854,1707988,88,179252,31,7732,48436,40276,7.25126696092856
case_020,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,7008,288,0.003995433789954338,1.0,532608,1824,288,8064,24,7872,32243712,288,1179648,288,1179648,0,532608,292.0
case_021,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,3920,80,0.0125,0.11230388109000826,6975360,5544,450,3840,7,4900,53862400,450,2355200,80,983040,6192000,783360,1258.1818181818182
case_022,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,1356,32,0.13495575221238937,0.9234433422683581,58571,1986,113,1483,36,1705,2237688,138,213540,73,146,4484,54087,29.491943605236656
case_023,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,1011,43,0.12561819980217606,0.5232206526154263,132942,4218,71,1123,31,1336,2982630,134,434122,57,9322,63384,69558,31.51778093883357
case_024,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,5959,1,1.0,1.0,2554795,216948,12,7058,808,5984,119935528,12,393216,1,2,0,2554795,11.77607076350093
case_025,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,18662,2666,0.00037509377344336085,0.20540540540540542,5918520,1632,2669,18662,6,26666,61479936,2669,4122624,2666,4094976,4702824,1215696,3626.544117647059
case_026,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,636,31,0.3113207547169811,0.6332140300644238,111760,4319,58,679,49,871,4254342,102,488886,31,39968,40992,70768,25.87636026858069
case_027,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,1424,16,0.0625,0.11414619258354952,2516352,21048,360,1408,45,2160,21381120,360,1843200,16,196608,2229120,287232,119.55302166476625
case_028,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,19584,153,0.006535947712418301,0.04824246771879483,40950144,246816,54,23103,124,20151,104410368,207,4028544,153,1880064,38974608,1975536,165.91365227537923
case_029,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,861,21,0.047619047619047616,1.0,37485,407,147,924,12,1281,1549338,168,258132,84,172032,0,37485,92.1007371007371
case_030,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,10070,486,0.005660377358490566,0.12779874482534173,3183302,1494,596,9584,12,11940,45791096,692,2393088,486,972,2776480,406822,2130.724230254351
case_031,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,6135,107,0.34995925020374896,0.14209102182746958,1555517,13057,497,7166,136,7365,20168404,560,2184820,110,220,1334492,221025,119.13280232825305
case_032,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,827,25,0.22853688029020555,0.7700758862838374,44145,1146,80,870,30,1186,1537524,151,279156,57,13932,10150,33995,38.52094240837696
case_033,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,3465,95,0.01847041847041847,0.10001406140145301,1920150,6300,427,3437,34,4572,24461520,503,2889776,101,83134,1728108,192042,304.7857142857143
case_034,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,3745,155,0.025100133511348464,0.20649581195531058,944116,3677,468,3691,24,5144,16713330,599,2279984,201,402,749160,194956,256.7625781887408
case_035,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,3857,16,0.6300233341975628,0.6982450352011877,206101,17200,184,5067,333,4538,4771216,301,396878,79,13976,62192,143909,11.982616279069767
case_036,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,2400,800,0.00125,0.11550151975683891,1052800,1316,801,1600,3,4802,19663104,801,3277952,800,3276800,931200,121600,800.0
case_037,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,780,20,0.05,0.12110030191211003,238480,904,180,760,6,1160,4341760,180,532480,20,81920,209600,28880,263.8053097345133
case_038,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,5907,130,0.019637717961740308,0.11239194627995092,1492776,8754,773,5855,36,7649,20021784,806,2794506,130,8444,1325000,167776,170.525017135024
case_039,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,5250,70,0.014285714285714285,0.06666666666666667,1476300,784,646,5180,8,6612,30195712,646,4202496,70,286720,1377880,98420,1883.0357142857142
case_040,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,3083,28,0.7116445021083361,0.623905442307111,297723,16120,68,4149,229,3647,9653756,266,911174,32,64,111972,185751,18.469168734491316
case_041,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,16594,494,0.010967819693865252,0.09345700977550327,6502990,1767,1057,16140,49,19210,70537108,1061,4948992,494,988,5895240,607750,3680.243350311262
case_042,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,4733,104,0.054510881047961125,0.12384294138081049,1825102,5685,492,4687,53,5853,24034948,508,2364192,104,24772,1599076,226026,321.0381706244503
case_043,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,9309,38,0.5274465570952841,0.3990758977846849,861593,27474,336,13402,202,10140,12920912,384,1430996,63,126,517752,343841,31.36030428769018
case_044,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,1364,11,0.09090909090909091,0.11835245046923878,84392,7672,50,1617,124,1497,3018176,61,952928,11,22528,74404,9988,11.0
case_045,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,1651,68,0.016959418534221685,1.0,125476,1824,68,1900,24,1855,7598080,68,278528,68,278528,0,125476,68.79166666666667
case_046,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,992,8,0.125,0.0808265392184425,227648,28456,50,1176,124,1116,5227712,58,995936,8,65536,209248,18400,8.0
case_047,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,13710,1,1.0,0.6278169099314985,413130,19990,111,20909,460,14259,5435148,271,457286,7,6656,153760,259370,20.666833416708354
case_048,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,1728,1,1.0,0.46248786576064344,259596,75960,61,2448,369,2069,2436332,169,410182,3,4608,139536,120060,3.417535545023697
case_049,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,4303,11,0.918429003021148,0.6344882245509784,261179,8921,46,6323,186,4609,4064356,144,152504,18,36,95464,165715,29.27687478982177
case_050,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,4555,23,0.8805708013172339,0.7196661973578453,185379,6829,93,6605,186,4969,3949894,188,319300,38,76,51968,133411,27.145848586908773
case_051,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,1416,1,1.0,1.0,607080,51552,12,1668,192,1441,29099090,12,393216,1,2,0,607080,11.77607076350093
case_052,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,1008,52,0.11904761904761904,0.3066533413677048,204123,3665,91,1034,17,1606,3835682,259,810044,80,160,141528,62595,55.695225102319235
case_053,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,11670,39,0.8443016281062553,0.22101461842931858,1556802,56912,217,17160,241,12377,18735136,331,2896918,45,98370,1212726,344076,27.354547371380377
case_054,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,15751,24,0.97708082026538,0.4342075184650917,1014888,20291,159,23976,354,16484,14319950,351,1606214,31,62,574216,440672,50.01665763146222
case_055,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,1236,24,0.14805825242718446,0.5277159998471473,130845,6962,114,1288,28,1641,3505018,173,625692,59,118,61796,69049,18.794168342430336
case_056,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,7678,19,0.9721281583745767,0.6524488751064411,376969,13737,103,11483,300,8157,5660336,221,221526,37,74,131016,245953,27.44187231564388
case_057,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,865,21,0.223121387283237,0.7718207928343096,61627,8189,102,904,101,1180,1933158,127,336588,61,5872,14062,47565,7.525583099279522
case_058,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,16575,255,0.00392156862745098,0.06641179683233206,4669050,746,1056,16320,7,18942,82182144,1056,6623232,255,1044480,4358970,310080,6258.780160857908
case_059,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,2752,64,0.015625,0.12160926546784517,839936,2120,352,2688,22,3520,13697024,352,1081344,64,262144,737792,102144,396.1962264150943
case_060,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,5281,89,0.03465252793031623,0.27525355439029714,993771,4252,638,5384,41,6752,21107010,666,2098728,139,278,720232,273539,233.71848541862653
case_061,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3,1115,40,0.14977578475336323,0.2784263036716888,99028,11506,112,1122,45,1709,2205930,259,544036,76,152,71456,27572,8.606640013905789
case_062,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,19636,1,1.0,0.13041398989335418,3011088,3120,2181,19635,28,28361,56962560,4362,13400064,1,1536,2618400,392688,965.0923076923077
case_063,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,7360,1,1.0,0.13037931621023985,1128768,3048,817,7359,26,10629,21345792,1634,5019648,1,1536,981600,147168,370.3307086614173
case_064,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,906,1,1.0,0.6829776158250911,23052,3528,26,1308,123,1034,325708,62,35622,4,1792,7308,15744,6.534013605442177
case_065,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,704,42,0.08664772727272728,0.5108864965903978,57778,1265,56,741,28,1067,1495780,153,299720,57,16482,28260,29518,45.67430830039525
case_066,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465,5962,28,0.6164038913116404,0.38758382022676025,440377,32240,151,8887,154,6362,6524788,181,1027116,38,79918,269694,170683,13.659336228287842
case_067,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,8804,71,0.014084507042253521,0.03852428624397479,61275840,863040,50,10437,124,9117,67205888,121,4884864,71,1163264,58915232,2360608,71.0
case_068,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,5351,32,0.7804148757241637,0.3831033910603595,403797,48319,207,7491,264,6260,9936512,407,2739974,95,31276,249101,154696,8.356898942445001
case_069,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,1032,1,1.0,0.4783180026281209,31962,2298,30,1548,46,1110,976780,36,113766,6,12288,16674,15288,13.908616187989557
case_070,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0,1191,38,0.23929471032745592,0.3395566934683486,139046,4054,92,1237,35,1630,2528198,193,419858,53,106,91832,47214,34.298470646275284
case_071,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,741,1,1.0,0.4663658038147139,23488,2298,29,1100,46,816,769420,35,111462,5,9984,12534,10954,10.22106179286336
case_072,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f,29666,476,0.2069709431672622,0.06933668957419852,24636293,31968,1204,32401,251,32624,202538656,1237,11093006,484,10178,22928094,1708199,770.6548110610611
case_073,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9,4836,39,0.02564102564102564,0.04984016274338855,8588736,220224,50,5733,124,5053,15650048,89,3881344,39,159744,8160672,428064,39.0
case_074,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,3609,73,0.07453588251593239,0.11160709263579932,1777844,3091,429,3597,39,4833,22558598,564,3776536,96,192,1579424,198420,575.1679068262698
case_075,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c,7410,1,1.0,0.3679188211256834,1752180,182300,109,11135,460,7953,12892812,269,1819782,5,17408,1107520,644660,9.611519473395502
case_076,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307,32528,809,0.003750614854894245,0.1351494644231927,7008892,2774,1655,31730,13,36815,100001112,1739,4269056,809,1618,6061644,947248,2526.6373467916364
case_077,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6,4486,41,0.4672313865358894,0.2475592217041795,552078,15619,110,6316,135,5208,10168792,336,2141260,50,100,415406,136672,35.3465650809911
case_078,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd,1024,8,0.125,0.04824246771879483,2141184,246816,54,1208,124,1156,9531648,62,2246784,8,98304,2037888,103296,8.675223648385842
case_079,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5,18720,288,0.003472222222222222,0.11330972714017913,33184512,5952,1122,18432,8,21252,245194752,1122,5812224,288,3538944,29424384,3760128,5575.354838709677
case_080,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c,1098,18,0.05555555555555555,0.06628677753227119,309564,746,279,1080,7,1674,8380416,279,1904640,18,73728,289044,20520,414.9651474530831
case_081,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e,3485,85,0.011764705882352941,1.0,151725,407,595,3740,12,5185,6271130,680,1044820,340,696320,0,151725,372.7886977886978
case_082,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c,4113,1,1.0,0.38780341100913873,927702,54690,41,6258,138,4298,6182092,89,566406,7,25600,567936,359766,16.962918266593526
case_083,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549,3844,31,0.03225806451612903,0.0808265392184425,882136,28456,50,4557,124,4037,14907584,81,1184352,31,253952,810836,71300,31.0
case_084,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee,8616,1077,0.0009285051067780873,0.4948453608247423,2507256,2328,0,9693,8,18309,51493524,4308,9927786,1077,3308544,1266552,1240704,1077.0
case_085,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6,19737,1,1.0,0.40203668038719587,4289922,165564,103,30348,450,20240,27000268,247,1655942,9,33792,2565216,1724706,25.910958904109588
case_086,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,5274,1,1.0,0.4964322509253253,157242,6894,72,8064,138,5462,4331916,90,321126,8,16896,79182,78060,22.808529155787642
case_087,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83,27556,196,0.4606256350704021,0.1972232747342308,4476064,82063,713,38493,382,29569,54425176,903,5918684,207,414,3593280,882784,54.54424040066778
case_088,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,3309,31,0.8455726805681475,0.36489215370657613,273352,32229,85,4731,176,3811,6726570,234,1829730,34,68,173608,99744,8.481553880045922
case_089,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84,5120,40,0.025,0.15705128205128205,698880,16272,54,6040,124,5348,9201920,94,402560,40,163840,589120,109760,42.94985250737463
case_090,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,1664,13,0.07692307692307693,0.06588072122052704,899808,63936,54,1963,124,1811,6423552,67,2188416,13,39936,840528,59280,14.073573573573574
case_091,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3,31554,513,0.004658680357482411,0.0939880380144597,9913070,56912,1421,31173,124,34927,104722708,1430,6535680,513,41976,8981360,931710,174.18242198481866
case_092,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d,17608,142,0.007042253521126761,0.0808265392184425,4040752,28456,50,20874,124,18134,61623488,192,2093664,142,1163264,3714152,326600,142.0
case_093,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36,552,69,0.014492753623188406,0.14102564102564102,86112,400,4,483,4,1181,2418688,280,573440,69,141312,73968,12144,215.28
case_094,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec,647,40,0.06800618238021638,0.34042394942357757,107560,2484,48,680,36,895,3055460,104,471328,40,55364,70944,36616,43.30112721417069
case_095,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f,3696,462,0.0021645021645021645,0.4867021276595745,2084544,4512,0,4158,8,7854,65465400,1848,8516508,462,2838528,1069992,1014552,462.0
case_096,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,1198,50,0.3313856427378965,0.5696121105559964,93274,9417,66,1276,119,1476,2631150,114,210260,50,9298,40144,53130,9.904852925560157
case_097,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf,6592,64,0.015625,0.11445544554455446,11635200,23904,832,6528,52,8320,90308608,832,4259840,64,786432,10303488,1331712,486.7469879518072
case_098,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8,1365,27,0.28498168498168497,0.9039095096029378,179997,6783,75,1514,51,1700,8289012,147,697912,41,82,17296,162701,26.536488279522334
case_099,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938,6296,202,0.01858322744599746,0.08316266368770558,1740204,2826,470,6106,29,7610,17250788,556,2533632,202,404,1595484,144720,615.7834394904459
case_100,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,1394,43,0.19727403156384504,0.6198659479956005,164563,4830,141,1505,52,1825,4788756,171,436006,89,18592,62556,102007,34.071014492753626
