case,compute_ops,op_edges,components,depth,branches,joins,max_layer_width,compute_cycles,largest_component_fraction,direct_op_edges,input_sha256
case_041,16594,16140,494,49,8,7120,7574,6502990,0.0048825232700650005,0,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
case_042,4733,4687,104,53,26,2011,2057,1825102,0.030899094954692945,0,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
case_043,9309,13402,38,202,2275,4640,547,861593,0.39007861020226486,0,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
case_044,1364,1617,11,124,264,264,11,84392,0.09090909090909091,0,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
case_045,1651,1900,68,24,317,317,136,125476,0.016959418534221685,0,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
case_046,992,1176,8,124,192,192,8,227648,0.125,0,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
case_047,13710,20909,1,460,3873,7266,196,413130,1.0,0,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
case_048,1728,2448,1,369,537,777,57,259596,1.0,0,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764
case_049,4303,6323,11,186,1113,2080,134,261179,0.8563322472327408,0,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08
case_050,4555,6605,23,186,1172,2158,134,185379,0.761310612313153,0,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa
case_051,1416,1668,1,192,23,264,12,607080,1.0,0,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b
case_052,1008,1034,52,17,58,244,218,204123,0.03365617789274114,0,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0
case_053,11670,17160,39,241,3082,5623,318,1556802,0.3958929908877301,0,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc
case_054,15751,23976,24,354,4254,8426,324,1014888,0.6838853154239679,0,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828
case_055,1236,1288,24,28,26,252,200,130845,0.10907562382972219,0,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134
case_056,7678,11483,19,300,2069,3894,162,376969,0.9658088596144511,0,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d
case_057,865,904,21,101,30,165,126,61627,0.21011894137309944,0,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525
case_058,16575,16320,255,7,0,8160,8415,4669050,0.00392156862745098,0,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d
case_059,2752,2688,64,22,0,1344,1408,839936,0.015625,0,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9
case_060,5281,5384,89,41,128,2080,1977,993771,0.02762507660215482,0,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96
case_061,1115,1122,40,45,20,239,232,99028,0.22254311911782526,0,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3
case_062,19636,19635,1,28,0,2180,2181,3011088,1.0,0,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4
case_063,7360,7359,1,26,0,816,817,1128768,1.0,0,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d
case_064,906,1308,1,123,269,424,32,23052,1.0,0,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280
case_065,704,741,42,28,70,135,98,57778,0.06687666585897746,0,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400
case_066,5962,8887,28,154,1639,3012,192,440377,0.6655501990340095,0,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465
case_067,8804,10437,71,124,1704,1704,71,61275840,0.014084507042253521,0,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542
case_068,5351,7491,32,264,1319,2360,220,403797,0.8442658068286788,0,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d
case_069,1032,1548,1,46,294,528,144,31962,1.0,0,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52
case_070,1191,1237,38,35,36,259,213,139046,0.08020367360441868,0,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0
case_071,741,1100,1,46,216,370,100,23488,1.0,0,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897
case_072,29666,32401,476,251,1758,13817,11082,24636293,0.011688040891541596,0,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f
case_073,4836,5733,39,124,936,936,39,8588736,0.02564102564102564,0,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9
case_074,3609,3597,73,39,15,1462,1474,1777844,0.032547850092584055,0,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e
case_075,7410,11135,1,460,2175,3790,105,1752180,1.0,0,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c
case_076,32528,31730,809,13,11,14472,15270,7008892,0.003784906373218477,0,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307
case_077,4486,6316,41,135,1146,2043,213,552078,0.24435677567300274,0,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6
case_078,1024,1208,8,124,192,192,16,2141184,0.125,0,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd
case_079,18720,18432,288,8,0,9216,9504,33184512,0.003472222222222222,0,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5
case_080,1098,1080,18,7,0,540,558,309564,0.05555555555555555,0,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c
case_081,3485,3740,85,12,170,935,680,151725,0.011764705882352941,0,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e
case_082,4113,6258,1,138,1157,2170,196,927702,1.0,0,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c
case_083,3844,4557,31,124,744,744,31,882136,0.03225806451612903,0,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549
case_084,8616,9693,1077,8,2154,2154,1077,2507256,0.0009285051067780873,0,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee
case_085,19737,30348,1,450,5445,10674,324,4289922,1.0,0,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6
case_086,5274,8064,1,138,1474,2816,256,157242,1.0,0,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a
case_087,27556,38493,196,382,6003,14003,3066,4476064,0.1988568528063942,0,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83
case_088,3309,4731,31,176,920,1492,100,273352,0.8329809183763061,0,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825
case_089,5120,6040,40,124,960,960,80,698880,0.025,0,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84
case_090,1664,1963,13,124,312,312,26,899808,0.07692307692307693,0,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312
case_091,31554,31173,513,124,124,14422,14803,9913070,0.0062107904009555065,0,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3
case_092,17608,20874,142,124,3408,3408,142,4040752,0.007042253521126761,0,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d
case_093,552,483,69,4,0,207,276,86112,0.014492753623188406,0,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36
case_094,647,680,40,36,73,141,108,107560,0.0637504648568241,0,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec
case_095,3696,4158,462,8,924,924,462,2084544,0.0021645021645021645,0,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f
case_096,1198,1276,50,119,92,171,93,93274,0.28632845165855436,0,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a
case_097,6592,6528,64,52,0,3264,3328,11635200,0.015625,0,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf
case_098,1365,1514,27,51,96,247,98,179997,0.49560270448951926,0,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8
case_099,6296,6106,202,29,12,2620,2810,1740204,0.009829307368561387,0,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938
case_100,1394,1505,43,52,64,298,187,164563,0.34713149371365376,0,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19
