case,input_sha256,compute_ops,tensor_count,edges,depth,width_max,weak_components,largest_component_fraction,branches,joins,compute_cycles,critical_path_cycles,structural_parallelism,original_copy_bytes,io_compute_ratio,m_share,max_l1_tensor_bytes,max_ub_tensor_bytes,max_compute_producers_per_tensor
case_058,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,16575,18942,52347,7,8415,255,0.00392156862745098,0,8160,4669050,746,6258.780160857908,7667712,0.02737070710315803,0.933588203167668,8192,0,1
case_059,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,2752,3520,9088,22,1408,64,0.015625,0,1344,839936,2120,396.1962264150943,1343488,0.026658539063293712,0.8783907345321549,4096,0,1
case_060,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,5281,6752,16435,41,1977,89,0.03465252793031623,128,2080,993771,4252,233.71848541862653,2099006,0.03520271102027865,0.7247464456097028,8192,8192,1
case_061,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3,1115,1709,3505,45,232,40,0.14977578475336323,20,239,99028,11506,8.606640013905789,544188,0.0915882376701539,0.7215736963283111,8192,2048,1
case_062,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,19636,28361,58906,28,2181,1,1.0,0,2180,3011088,3120,965.0923076923077,13401600,0.07417916713161489,0.8695860101066458,4608,1536,1
case_063,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,7360,10629,22078,26,817,1,1.0,0,816,1128768,3048,370.3307086614173,5021184,0.07413959290128706,0.8696206837897602,4608,1536,1
case_064,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,906,1034,2550,123,32,1,1.0,269,424,23052,3528,6.534013605442177,37414,0.027050436693851584,0.3170223841749089,1024,1024,1
case_065,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,704,1067,2164,28,98,42,0.08664772727272728,70,135,57778,1265,45.67430830039525,316202,0.09121176457013627,0.48911350340960225,4608,4096,1
case_066,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465,5962,6362,16324,154,192,28,0.6164038913116404,1639,3012,440377,32240,13.659336228287842,1107034,0.04189720777122026,0.6124161797732397,36864,12288,1
case_067,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,8804,9117,23246,124,71,71,0.014084507042253521,1704,1704,61275840,863040,71.0,6048128,0.001645055103827762,0.9614757137560253,294912,0,1
case_068,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,5351,6260,15148,264,220,32,0.7804148757241637,1319,2360,403797,48319,8.356898942445001,2771250,0.11438296966049773,0.6168966089396405,36864,8192,1
case_069,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,1032,1110,2844,46,144,1,1.0,294,528,31962,2298,13.908616187989557,126054,0.0657311807771729,0.5216819973718791,9216,4608,1
case_070,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0,1191,1630,3424,35,213,38,0.23929471032745592,36,259,139046,4054,34.298470646275284,419964,0.050338736820908184,0.6604433065316514,24576,6144,1
case_071,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,741,816,2063,46,100,1,1.0,216,370,23488,2298,10.22106179286336,121446,0.0861759196185286,0.5336341961852861,9216,4608,1
case_072,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f,29666,32624,88639,251,11082,476,0.2069709431672622,1758,13817,24636293,31968,770.6548110610611,11103184,0.00751140062616834,0.9306633104258015,165888,2304,1
case_073,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9,4836,5053,12814,124,39,39,0.02564102564102564,936,936,8588736,220224,39.0,4041088,0.007841836874094938,0.9501598372566115,294912,0,1
case_074,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,3609,4833,11541,39,1474,73,0.07453588251593239,15,1462,1777844,3091,575.1679068262698,3776728,0.035405506144896105,0.8883929073642007,8192,8192,1
case_075,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c,7410,7953,20378,460,105,1,1.0,2175,3790,1752180,182300,9.611519473395502,1837190,0.01747527841507912,0.6320811788743166,16384,8192,1
case_076,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307,32528,36815,99916,13,15270,809,0.003750614854894245,11,14472,7008892,2774,2526.6373467916364,4270674,0.010155371205605678,0.8648505355768072,16384,4096,1
case_077,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6,4486,5208,12652,135,213,41,0.4672313865358894,1146,2043,552078,15619,35.3465650809911,2141360,0.06464545468816604,0.7524407782958206,20736,4608,1
case_078,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd,1024,1156,2812,124,16,8,0.125,192,192,2141184,246816,8.675223648385842,2345088,0.01825382592061215,0.9517575322812052,165888,0,1
case_079,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5,18720,21252,58980,8,9504,288,0.003472222222222222,0,9216,33184512,5952,5575.354838709677,9351168,0.004696552415777577,0.8866902728598208,12288,0,1
case_080,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c,1098,1674,3888,7,558,18,0.05555555555555555,0,540,309564,746,414.9651474530831,1978368,0.10651367730097816,0.9337132224677288,8192,0,1
case_081,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e,3485,5185,11220,12,680,85,0.011764705882352941,170,935,151725,407,372.7886977886978,1741140,0.19126050420168067,0.0,0,2048,1
case_082,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c,4113,4298,11187,138,196,1,1.0,1157,2170,927702,54690,16.962918266593526,592006,0.010635707012237407,0.6121965889908613,16384,8192,1
case_083,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549,3844,4037,10206,124,31,31,0.03225806451612903,744,744,882136,28456,31.0,1438304,0.02717464578402121,0.9191734607815575,73728,0,1
case_084,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee,8616,18309,33387,8,1077,1077,0.0009285051067780873,2154,2154,2507256,2328,1077.0,13236330,0.08798682703321879,0.5051546391752577,4608,4608,1
case_085,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6,19737,20240,53243,450,324,1,1.0,5445,10674,4289922,165564,25.910958904109588,1689734,0.006564742513577947,0.5979633196128041,16384,8192,1
case_086,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,5274,5462,14290,138,256,1,1.0,1474,2816,157242,6894,22.808529155787642,338022,0.03582821383599801,0.5035677490746747,9216,4608,1
case_087,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83,27556,29569,77339,382,3066,196,0.4606256350704021,6003,14003,4476064,82063,54.54424040066778,5919098,0.022039817422926333,0.8027767252657693,36864,9216,1
case_088,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,3309,3811,9270,176,100,31,0.8455726805681475,920,1492,273352,32229,8.481553880045922,1829798,0.11156542967797321,0.6351078462934239,36864,6144,1
case_089,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84,5120,5348,13628,124,80,40,0.025,960,960,698880,16272,42.94985250737463,566400,0.013507326007326008,0.842948717948718,18432,0,1
case_090,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,1664,1811,4502,124,26,13,0.07692307692307693,312,312,899808,63936,14.073573573573574,2228352,0.041274583022155836,0.934119278779473,165888,0,1
case_091,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3,31554,34927,96492,124,14803,513,0.004658680357482411,124,14422,9913070,56912,174.18242198481866,6577656,0.01105889497400906,0.9060119619855403,73728,2048,1
case_092,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d,17608,18134,46392,124,142,142,0.007042253521126761,3408,3408,4040752,28456,142.0,3256928,0.013433671092245535,0.9191734607815575,73728,0,1
case_093,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36,552,1181,2285,4,276,69,0.014492753623188406,0,207,86112,400,215.28,714752,0.13833766877245138,0.8589743589743589,2048,0,1
case_094,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec,647,895,1925,36,108,40,0.06800618238021638,73,141,107560,2484,43.30112721417069,526692,0.08161212346597249,0.6595760505764224,18432,9216,1
case_095,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f,3696,7854,14322,8,462,462,0.0021645021645021645,924,924,2084544,4512,462.0,11355036,0.09078752955082743,0.5132978723404256,18432,18432,1
case_096,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,1198,1476,3200,119,93,50,0.3313856427378965,92,171,93274,9417,9.904852925560157,219558,0.03923172588288269,0.4303878894440037,18432,4096,1
case_097,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf,6592,8320,21568,52,3328,64,0.015625,0,3264,11635200,23904,486.7469879518072,5046272,0.007228456178951229,0.8855445544554456,12288,0,1
case_098,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8,1365,1700,3615,51,98,27,0.28498168498168497,96,247,179997,6783,26.536488279522334,697994,0.06463015124326146,0.09609049039706218,16384,16384,1
case_099,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938,6296,7610,19599,29,2810,202,0.01858322744599746,12,2620,1740204,2826,615.7834394904459,2534036,0.02426953008574474,0.9168373363122945,24576,3072,1
case_100,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,1394,1825,4014,52,187,43,0.19727403156384504,64,298,164563,4830,34.071014492753626,454598,0.04604092860079929,0.38013405200439954,18432,16384,1
