case,sha256,compute_ops,weak_components,largest_component_fraction,vector_share,compute_cycles,critical_path_cycles,shared_input_tensors
case_033,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,3465,95,0.01847041847041847,0.10001406140145301,1920150,6300,427
case_034,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,3745,155,0.025100133511348464,0.20649581195531058,944116,3677,468
case_035,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,3857,16,0.6300233341975628,0.6982450352011877,206101,17200,184
case_036,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,2400,800,0.00125,0.11550151975683891,1052800,1316,801
case_037,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,780,20,0.05,0.12110030191211003,238480,904,180
case_038,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,5907,130,0.019637717961740308,0.11239194627995092,1492776,8754,773
case_039,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,5250,70,0.014285714285714285,0.06666666666666667,1476300,784,646
case_040,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,3083,28,0.7116445021083361,0.623905442307111,297723,16120,68
case_041,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,16594,494,0.010967819693865252,0.09345700977550327,6502990,1767,1057
case_042,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,4733,104,0.054510881047961125,0.12384294138081049,1825102,5685,492
case_043,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,9309,38,0.5274465570952841,0.3990758977846849,861593,27474,336
case_044,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,1364,11,0.09090909090909091,0.11835245046923878,84392,7672,50
case_045,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,1651,68,0.016959418534221685,1.0,125476,1824,68
case_046,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,992,8,0.125,0.0808265392184425,227648,28456,50
case_047,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,13710,1,1.0,0.6278169099314985,413130,19990,111
case_048,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,1728,1,1.0,0.46248786576064344,259596,75960,61
case_049,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,4303,11,0.918429003021148,0.6344882245509784,261179,8921,46
case_050,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,4555,23,0.8805708013172339,0.7196661973578453,185379,6829,93
case_051,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,1416,1,1.0,1.0,607080,51552,12
case_052,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,1008,52,0.11904761904761904,0.3066533413677048,204123,3665,91
case_053,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,11670,39,0.8443016281062553,0.22101461842931858,1556802,56912,217
case_054,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,15751,24,0.97708082026538,0.4342075184650917,1014888,20291,159
case_055,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,1236,24,0.14805825242718446,0.5277159998471473,130845,6962,114
case_056,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,7678,19,0.9721281583745767,0.6524488751064411,376969,13737,103
case_057,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,865,21,0.223121387283237,0.7718207928343096,61627,8189,102
case_058,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,16575,255,0.00392156862745098,0.06641179683233206,4669050,746,1056
case_059,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,2752,64,0.015625,0.12160926546784517,839936,2120,352
case_060,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,5281,89,0.03465252793031623,0.27525355439029714,993771,4252,638
case_061,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3,1115,40,0.14977578475336323,0.2784263036716888,99028,11506,112
case_062,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,19636,1,1.0,0.13041398989335418,3011088,3120,2181
case_063,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,7360,1,1.0,0.13037931621023985,1128768,3048,817
case_064,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,906,1,1.0,0.6829776158250911,23052,3528,26
case_065,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,704,42,0.08664772727272728,0.5108864965903978,57778,1265,56
case_066,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465,5962,28,0.6164038913116404,0.38758382022676025,440377,32240,151
case_067,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,8804,71,0.014084507042253521,0.03852428624397479,61275840,863040,50
case_068,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,5351,32,0.7804148757241637,0.3831033910603595,403797,48319,207
case_069,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,1032,1,1.0,0.4783180026281209,31962,2298,30
case_070,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0,1191,38,0.23929471032745592,0.3395566934683486,139046,4054,92
case_071,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,741,1,1.0,0.4663658038147139,23488,2298,29
case_072,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f,29666,476,0.2069709431672622,0.06933668957419852,24636293,31968,1204
case_073,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9,4836,39,0.02564102564102564,0.04984016274338855,8588736,220224,50
case_074,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,3609,73,0.07453588251593239,0.11160709263579932,1777844,3091,429
case_075,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c,7410,1,1.0,0.3679188211256834,1752180,182300,109
case_076,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307,32528,809,0.003750614854894245,0.1351494644231927,7008892,2774,1655
case_077,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6,4486,41,0.4672313865358894,0.2475592217041795,552078,15619,110
case_078,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd,1024,8,0.125,0.04824246771879483,2141184,246816,54
case_079,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5,18720,288,0.003472222222222222,0.11330972714017913,33184512,5952,1122
case_080,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c,1098,18,0.05555555555555555,0.06628677753227119,309564,746,279
case_081,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e,3485,85,0.011764705882352941,1.0,151725,407,595
case_082,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c,4113,1,1.0,0.38780341100913873,927702,54690,41
case_083,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549,3844,31,0.03225806451612903,0.0808265392184425,882136,28456,50
case_084,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee,8616,1077,0.0009285051067780873,0.4948453608247423,2507256,2328,0
case_085,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6,19737,1,1.0,0.40203668038719587,4289922,165564,103
case_086,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,5274,1,1.0,0.4964322509253253,157242,6894,72
case_087,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83,27556,196,0.4606256350704021,0.1972232747342308,4476064,82063,713
case_088,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,3309,31,0.8455726805681475,0.36489215370657613,273352,32229,85
case_089,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84,5120,40,0.025,0.15705128205128205,698880,16272,54
case_090,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,1664,13,0.07692307692307693,0.06588072122052704,899808,63936,54
case_091,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3,31554,513,0.004658680357482411,0.0939880380144597,9913070,56912,1421
case_092,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d,17608,142,0.007042253521126761,0.0808265392184425,4040752,28456,50
case_093,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36,552,69,0.014492753623188406,0.14102564102564102,86112,400,4
case_094,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec,647,40,0.06800618238021638,0.34042394942357757,107560,2484,48
case_095,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f,3696,462,0.0021645021645021645,0.4867021276595745,2084544,4512,0
case_096,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,1198,50,0.3313856427378965,0.5696121105559964,93274,9417,66
case_097,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf,6592,64,0.015625,0.11445544554455446,11635200,23904,832
case_098,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8,1365,27,0.28498168498168497,0.9039095096029378,179997,6783,75
case_099,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938,6296,202,0.01858322744599746,0.08316266368770558,1740204,2826,470
case_100,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,1394,43,0.19727403156384504,0.6198659479956005,164563,4830,141
